"VersionEffective","LOINC_NUM","Property","ValuePrior","ValueCurrent","ChangeReason"
"2.77","102113-8","STATUS","ACTIVE","DEPRECATED",""
"2.77","1882-0","STATUS","ACTIVE","DEPRECATED",""
"2.77","45482-7","STATUS","ACTIVE","DEPRECATED",""
"2.77","52743-2","STATUS","DISCOURAGED","DEPRECATED","Discouraged as items are from a legacy demonstration tool that is no longer maintained. No replacement term defined."
"2.77","52744-0","STATUS","DISCOURAGED","DEPRECATED","Discouraged as items are from a legacy demonstration tool that is no longer maintained. No replacement term defined."
"2.77","52746-5","STATUS","DISCOURAGED","DEPRECATED","Discouraged as items are from a legacy demonstration tool that is no longer maintained. No replacement term defined."
"2.77","52748-1","STATUS","DISCOURAGED","DEPRECATED","Discouraged as items are from a legacy demonstration tool that is no longer maintained. No replacement term defined."
"2.77","54525-1","STATUS","ACTIVE","DEPRECATED",""
"2.77","54754-7","STATUS","ACTIVE","DEPRECATED",""
"2.77","54755-4","STATUS","ACTIVE","DEPRECATED",""
"2.77","69412-5","STATUS","DISCOURAGED","DEPRECATED","Discouraged as items are from a legacy demonstration tool that is no longer maintained. No replacement term defined."
"2.77","71799-1","STATUS","TRIAL","ACTIVE",""
"2.77","83240-2","STATUS","ACTIVE","DEPRECATED",""
"2.77","86747-3","STATUS","ACTIVE","DEPRECATED",""
"2.77","89045-9","STATUS","ACTIVE","DEPRECATED",""
"2.77","89408-9","STATUS","ACTIVE","DEPRECATED",""
"2.77","89411-3","STATUS","ACTIVE","DEPRECATED",""
